Day,URL,Content
11,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/11,"After running, scheming, and wrestling with God, Jacob ends up walking with a limp toward a new future. When God tells him to move back to Bethel, Jacob obeys and acknowledges God’s protection throughout his tumultuous life. God reaffirms his unwavering promise to bless the world through Jacob’s family. God is advancing the Edenic blessing to “be fruitful and multiply” (Gen. 1:28) with his promise of land, descendants, and kings to Abraham (Gen. 12:1-3, 17:16). God continues to honor this promise through Jacob and, eventually, one of his sons.
But Jacob’s previous acts of deception continue to result in envy, rivalry, and contempt within his family. He lavishes preferential treatment on his favorite wife’s oldest son, Joseph, by giving him an expensive robe. Adding insult to injury, Joseph tells his jealous brothers about his dream where they all bow down to him. It’s the last straw. Joseph’s brothers try to murder him before selling him to slave traders, who drag Joseph down to Egypt in chains.
The brothers present Joseph’s bloodied and tattered robe to their inconsolable father as proof of his death. Every generation of Abraham’s family seems bent toward deception and chaos. How will God bring order and beauty out of this mess?
Today’s video explains how these tragic episodes of human failure fit into the unified story that leads to Jesus. When we go back to the beginning of the story, we can better see how Jesus is the answer to a broken human family who continually struggles to be faithful covenant partners.
Reflection Questions
Where else have you seen a deception involving a slaughtered goat in the story of Jacob’s life? Does the connection reveal anything you had not previously seen in this story?
Why do you think God chose to reveal himself and his purposes for the world through the history, struggles, and meditations of one people group—the descendants of Abraham’s family?"
12,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/12,"Yesterday’s reading ended on a cliffhanger, leaving the future of God’s partnership with Jacob’s family unclear. While the Bible tells one unified story, which you’ll learn about in today’s video, the story takes many unexpected twists and turns along the way.
Genesis 38, for example, feels like a strange interruption to the main storyline. The narrative cuts away from Joseph to focus on the story of Judah and Tamar. This account features the ancient cultural practice of levirate marriage (Deut. 25:5-10; Num. 27, 36), which required a man to marry the widow of his deceased brother. Children born through levirate marriage would receive the name and inheritance of the deceased man. This ancient practice protected the vulnerable widow from destitution and kept the deceased man’s family line from dying off.
But the men of Judah’s family refuse to uphold this practice for Tamar. Onan denies her a son, and then Judah denies her a husband, leaving her desperate and jeopardizing the future of Judah’s family line. When Tamar realizes her father-in-law has deceived her, she uses counter-deception to save the family. Her intervention forces Judah to confront his failures and commend Tamar’s righteousness.
Meanwhile, back in Egypt, Joseph’s behavior is a refreshing contrast to his father’s. Even in the face of danger and suffering, Joseph trusts God’s wisdom and refuses to let fear drive his actions. Yet despite his faithfulness, Joseph still ends up in prison, feeling forgotten and alone. If God is with him, why is Joseph down in this pit?
Reflection Questions
What shared themes, words, and objects do you notice in chapters 37, 38, and 39? How do these hyperlinks help you understand the design of the story?
Read the story of Joseph and Potiphar’s wife carefully. Where else in Genesis have you seen a powerful foreigner try to take a beautiful member of Abraham’s family? What happened in those stories? How is Joseph’s case different?"
13,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/13,"Joseph’s long descent into slavery, exile, and imprisonment finally rebounds. Today’s reading offers a brilliant example of how the biblical authors use narrative (one of the literary styles in today’s video) to show how God is working in the world.
Joseph languishes in prison for two years, but at just the right time, God prompts the cupbearer to remember Joseph. This remembering leads to a cascade of events where Joseph becomes Pharaoh’s right-hand man, the second most powerful person in Egypt. From prison pits to prominent palaces, God works out his plans.
There are lots of hyperlinks to the Eden story here. Just as God called Adam to rule the world with him as his image-bearer, now Pharaoh gives Joseph his signet ring and clothes, marking the former slave as an image of Pharaoh and co-ruler of Egypt. But where Adam chose to follow his own wisdom, Joseph trusts God’s wisdom and spreads life, blessing, and abundance to all nations.
When famine reunites Joseph with his brothers, he conceals his identity and tests them by recreating the moment they betrayed him. They can go back to their father with sacks full of silver, leaving their brother in chains…
or
they can choose to rescue their sibling. Jacob, always playing favorites, would rather let Simeon rot in prison than risk losing Benjamin. Will Jacob’s sons return for Simeon, or will they abandon another brother to Egypt?
Reflection Questions
We’ve read many chapters of narrative so far in our journey through the Bible. How have these stories shaped the way you see God, the world, and other people?
Think back to other places where we’ve seen clothing appear in Genesis 37-42. What connections do you see? How does the role of clothing help you understand the larger developments of the story?"
14,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/14,"Judah’s experience with Tamar changed him. Before, Judah offered his belongings as payment for sex with a prostitute. Now, he surrenders his own life as a down payment for his younger brother’s safety. Judah’s willing sacrifice rescues the family from starvation, convincing Jacob to allow his sons to return to Egypt with Benjamin.
But Joseph has one more test for his brothers. Once again, he recreates the moment they abandoned him 20 years ago to see how they’ll respond. First, Joseph attempts to rouse their jealousy by favoring their youngest brother. Then, he provides an easy opportunity for his brothers to save themselves by abandoning Benjamin in Egypt. This time, the brothers refuse to take the money and run. Judah, the one responsible for selling Joseph into slavery, puts himself in harm’s way to protect Benjamin.
Overwhelmed by their change of heart, Joseph breaks down sobbing and reveals his true identity. Fearing retribution, the brothers shrink away from him, but Joseph pulls them into a tearful, loving embrace.
The blessing God brings out of exile and suffering causes us to consider where else God has been at work in biblical stories of confusion and uncertainty. Watch today’s video to learn how the Bible invites us into a lifetime of reading and reflection.
Reflection Questions
Where else in Genesis have you seen sibling rivalries leading to death or exile? Have any of these rivalries been resolved?
What questions about the biblical story so far remain unanswered for you? How are these questions inviting you to meditate on the Scriptures?"
15,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/15,"After many dark, desolate years, God restores life and joy. He sends Jacob down to Egypt and into the arms of his long-lost, beloved son. Jacob discovers that the son he presumed dead is now the source of life for many because Joseph trusted God’s wisdom. When famine pushes Egypt and Canaan to the brink of starvation, Joseph provides grain to the surrounding nations so that they too “may live and not die” (Gen. 47:19), just as he had done for his family (Gen. 42:1, 43:8).
In Genesis 12, God promised Abraham that his family would become a blessing to every “family” or “nation” on Earth, and that anyone who blesses Abraham and his family will themselves be blessed (Gen. 12:2-3). God also says he will “curse” or “treat lightly” those who treat Abraham’s family with contempt. It’s common to see this as God vowing to oppose anyone who opposes Abraham’s genetic line or the people of Israel. However, in the context of Genesis 12:1-3, God is talking about his promised blessing being extended to all the world and guaranteeing that it will happen.
The idea is that those who refuse to partner with God or try to stop or “curse” his plan to bless all nations will ultimately fail. God will bless those who bless until his good work is complete. Pay close attention as the story about Abraham’s family unfolds because God will also oppose
them
when they reject his blessing.
Today’s reading shows that promise from God in action when the pharaoh gives the good land of Goshen to Jacob’s family (which is also Abraham’s), and Jacob responds by blessing Pharaoh.
As Jacob’s life comes to an end, he displays increased confidence in God’s covenant promises. He urges Joseph
not
to bury him in Egypt but to return his body to the land of his ancestors. Jacob’s insistence reveals his conviction that God will one day give that land to his family, even if he won’t live to see it. God often works slowly, but he always keeps his promises!
Reflection Questions
Look back over Genesis 24:1-9. What parallels do you notice between the request Abraham makes near the end of his life and the request Jacob makes near the end of his? What does this show you about both stories?
Notice that Genesis 46:28 identifies Judah as the son who leads the family to Goshen. Where else have you seen Judah take a leading role among his brothers in the story, either positively or negatively? What happened in those cases?"
16,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/16,"Today, we come to the end of the Genesis narrative. Congratulations on reading and thinking through the first book of the biblical story! Watch today’s video to review everything you’ve learned so far.
The final chapters of Genesis draw the book’s key storylines to a close. Jacob welcomes Joseph’s half-Egyptian children into the covenant family. When Jacob dies, Joseph buries him alongside the other patriarchs in Canaan, just as he promised. Joseph reassures his guilt-stricken brothers that he harbors no ill will toward them. What they meant for evil, God turned into life-saving good.
Jacob’s deathbed blessing foreshadows what will happen to his sons’ families. Both Judah and Joseph receive a blessing of abundance and authority among their brothers. But only Judah is chosen to rule outside the family of Israel. Abraham, Isaac, Jacob, and now Judah carry God’s promise to bless the nations through them.
Which leaves us wondering: What’s next? Genesis ends with Abraham’s family down in Egypt and all of God’s covenant promises left unfinished. What will be the next stage of God’s rescue plan?
Reflection Questions
Joseph’s statement in Genesis 50:20 summarizes a key theme woven throughout the narrative: “You planned all this for evil,” he tells his brothers, “but God planned it for good, to save many lives.” Where else in the book have you seen God bring life and blessing out of foolish and evil decisions?
Look back at God’s foundational promises to Abraham in Genesis 12:1-3. Which of these promises have been fulfilled by the end of Genesis? Which are we still waiting for?"
17,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/17,"The book of Exodus opens on a high note. Jacob’s family survives famine and lives to enjoy an Edenic blessing in Egypt. They live out God’s commission to be fruitful and multiply, filling the land. But just eight verses later, the narrative takes an ominous turn. A new pharaoh, with no respect for Joseph or his family, ascends to power. What seemed like a new Eden turns out to be a new Babylon: a brutal, oppressive empire that redefines evil as good.
Israel’s multiplication in Egypt is a good thing, but Pharaoh calls it a bad thing. The Egyptian ruler drowns babies to control the Israelite population growth and brutally enslaves the people. They cry out for help from God, who intervenes to rescue them.
While Pharaoh anxiously focuses on dominating Israel’s men, a series of brave women foil his schemes. The Hebrew midwives Shiphrah and Puah, Moses’ mother and sister, Pharaoh’s daughter and her maidservant, and Zipporah: Count them up, and you’ll see seven women who defy Pharaoh’s oppression, protect life, and rescue Moses, God’s chosen deliverer of Israel.
When God first calls Moses to lead a courageous rescue mission, Moses is reluctant. And his people aren’t particularly thrilled about him either. But God promises to give Moses everything he will need. Watch today’s video to see God’s deliverance of his people and learn about the literary design of the first half of Exodus.
Reflection Questions
After reading the first two chapters of the Exodus story, what hyperlinks (repeated words, concepts, ideas, images, etc.) connect with the Eden story?
The Hebrew word for Moses’ “basket” is
tevah
, which is the same word translated as “ark” in the Noah story. So Moses escapes down the Nile in a little
tevah
, or ark.
Tevah
is an unusual noun that appears only in these two stories. What parallels can you see between Moses in Exodus and Noah in the flood?"
18,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/18,"Today’s reading opens in the middle of a back-and-forth argument between Moses and God. God has given Moses a
huge
job and everything he needs to accomplish it. Moses has resisted. God has accommodated. Notice where God is merciful and flexible with Moses—and where God won’t budge.
As you read, pay attention to how the author uses the concepts of work and service—two meanings of the Hebrew word
‘avad
, as you’ll learn in today’s video. God wants to set people free and invite them into a way of working and resting that leads to flourishing and true life. But Pharaoh wants the Israelites to serve
him
in chains. He doesn’t care about them. He wants to consume them.
As the dramatic confrontation between God and Pharaoh escalates, the narrative cuts away from the action to give us … a genealogy? While genealogies can feel random and confusing, these family trees play a key role in the story. Not only do genealogies testify to God’s faithfulness from generation to generation, they also help us follow priestly and royal lines throughout Israel’s history.
The genealogy in Exodus 6 reveals that Aaron, the father of Israel’s priesthood, married a woman from the tribe of Judah, Israel’s royal family line. All of Israel’s priests, then, descend from the merging of the priestly and kingly lines! Who knew a list of names could pack such a theological punch?
Reflection Questions
So far in Exodus, where have you seen references to God’s name in the story? What was the context and significance of these references?
What circumstances lead to Aaron entering the story? Was Aaron God’s first choice to be his mediator? What does this tell you about Aaron’s role? And what does it tell you about God’s character or nature?"
19,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/19,"The simmering tension between God and Pharaoh finally boils over. God sends Moses and Aaron to confront the oppressive Egyptian king with a simple message: “Let my people go.” God reinforces his demand with powerful signs, such as turning Aaron’s staff into a snake—a clear hyperlink to the enemy in Eden. Here, God helps humans control the serpent. Moses’ power over the snake-staff reflects God’s power over snake-like Pharaoh.
The staff is just the beginning. Pharaoh’s refusal to free the Israelites triggers the full force of God’s liberating power. The narrative describes one divine plague after another with language that recalls the waters of the flood. Creation collapses as chaos surges over the earth. Once again, God enacts this cosmic de-creation after hearing the victims’ outcry.
This story also recalls the de-creation of Sodom and Gomorrah, as both stories include a human mediator between God and the people. Where Abraham interceded for Lot’s safety, Moses now intercedes to bring judgment upon Egypt.
With each wave of catastrophe that breaks over Egypt, God displays his incomparable power. But this power has a life-giving purpose. The biblical narrative describes each of God’s actions against Egypt as an
’ot
—a sign that points to a larger reality, as we’ll see in the video. God’s signs invite both Israelites and Egyptians to acknowledge him as the true ruler of the universe. Pharaoh rejects this invitation and hardens his heart against God. How many more chances will God give the defiant Egyptian king?
Reflection Questions
As you read through the story of the plagues (or signs), look for language that sounds familiar. What hyperlinks do you see to the creation story? Or the flood story?
Why do you think that, in order to set Israel free, God does not give them stronger armies or better weapons to use in a fight for freedom? Instead, God does the fighting (with plagues) while he protects Israel, helping Moses to lead their escape. What does this say about God and his way of rescuing people?"
20,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/20,"Despite Egypt buckling under the pressure of God’s liberating power, Pharaoh doubles down on his cruelty. His own advisors plead with him to let Israel go, but Pharaoh would rather watch his nation collapse than yield to God.
So God gives Pharaoh over to the consequences of his own rebellion. Though God hardens Pharaoh’s heart, this does not violate Pharaoh’s will—by this point, Pharaoh has already hardened his own heart multiple times. God simply strengthens Pharaoh’s resolve to follow his own desires to their bitter end.
The showdown reaches a climax when God turns Pharaoh’s evil back on himself. Because Pharaoh killed the firstborn sons of Israel, God now requires the lives of Egypt’s firstborn sons. But unlike Pharaoh, God offers a way to escape that death. God promises to
pasakh
(a rare Hebrew verb we explore in today’s video) any home with the blood of a spotless lamb painted on its doorposts.
The night of Israel’s rescue births a new people. This event, known as Passover, marks the start of their new calendar and their national story. For generations to come, the people will share a symbolic meal to commemorate God’s protection and liberation. Out of the deluge of death and darkness, a new creation dawns.
Reflection Questions
How does Isaiah’s metaphor of a hovering mother bird protecting her chicks (Isa. 31:5) help you understand God’s protection at Passover?
How else have you seen God save his people by providing a refuge for them in the midst of destruction and danger?"
21,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/21,"Instead of a straight path to freedom, God leads his people up from Egypt into the harsh desert. The roundabout route exposes the Israelites to thirst and scorching heat—and to enemy forces. When Pharaoh catches wind of their vulnerable position, he rallies his army in pursuit. The Israelites panic. With Pharaoh’s chariots thundering towards them and the treacherous sea behind them, they’re cornered, and they turn on Moses. Has he brought them out to the desert to
die
?
But where the Israelites
and
Egyptians see a dead end, God opens a new path. His presence forms a protective barrier behind his people, separating—as he did on the first day of creation—the light illuminating Israel’s camp from the darkness shrouding Egypt’s chariots. The turbulent sea divides, giving way to dry land for the Israelites to walk through the sea toward freedom. As a new day breaks over the horizon, the chaotic waters swallow Egypt’s army while God’s chosen people watch safely from the shore.
The Israelites erupt in praise. Their song is filled with vivid imagery and figurative language that recounts the exodus through a new lens—one that highlights God’s faithful love and justice.
This pattern of a long narrative followed by a capstone poem or song repeats throughout the biblical story. Through the evocative language of poetry, the biblical authors invite readers to experience the story in a new way and reflect on God’s character. Who is like this God of majesty and liberating power?
Reflection Questions
Where else in the biblical story have you seen God bring a person or community through the waters of death to new life on the other side? What common features do you notice across these events?
As you read through the Israelites’ song of praise, pay attention to the way it describes God’s character. What kind of God does Yahweh reveal himself to be in the exodus event?"
