Day,En_Title,En_YouTubeLink,Ch_Title,Ch_YouTubeLink,老張批註
172,Day of the Lord,tEBc2gSSW04,主的日子 - Day of the Lord,k8l-J21n_xo,本影片忽略了一項重要根基：耶穌在十字架上不單是「以生命的力量戰勝死亡」，更重要的是，祂代替了祂的子民承受了父神對罪的公義審判，並將祂的完美歸算給我們，這是聖經福音啟示的核心。
173,Malachi,HPGShWZ4Jvk,《读圣经》系列: 玛拉基书 Malachi,8T57vKj-Ix8,
174,,,,,
175,Psalms,j9phNEaPrv8,《读圣经》系列：诗篇 Psalms,jpO8JuzIylo,
176,Proverbs,AzmYV8GNAIM,《读圣经》系列：箴言 Proverbs,JwE3Vx6i9DY,
177,Vocab Insight: Kopher / Ransom,is2npgQYEZc,,,
178,Proverbs 8,k8P-x34iYRE,箴言 第8章 - Proverbs 8,9v9s-fS7TWU,
179,,,,,
180,,,,,
181,,,,,
182,Poetic Metaphor,L9W5afjndtU,圣经诗歌中的隐喻 - Metaphor in Biblical Poetry,OfObg_yl8ds,
183,Passage Insight: Creative Nonviolence,52jzwDO77vk,,,
184,Wisdom in Relationships,PqEiqCuIsvw,耶稣让我们”不要评断他人”。那我们该做什么？Sermon on the Mount Episode 9,yMQcIQMbhuA,
185,Wisdom: Proverbs,Gab04dPs_uA,箴言 - The Book of Proverbs,MV7HUgL8b0o,
186,Job,xQwnH8th_fs,《读圣经》系列：约伯记 Job,bNIMmTOi8ZM,
187,Shalom / Peace,oLYORLZOaZE,和平 - Shalom 【字义研读】,7TI15i39hbY,
188,,,,,
189,Matthew 7:1-2: Don’t Judge,9qFevxgBxlw,,,
190,Matthew 7:6: Pearls Before Pigs,2KyWDlvN0y4,,,
191,,,,,
192,,,,,
193,Poetry,q9yp1ZXbsEg,圣经诗歌的艺术 - The Art of Biblical Poetry,3L-YkpqQ3mY,
194,Vocab Insight: Tse'aqah / Outcry,B9QPUdvzoPU,,,
195,,,,,
196,,,,,
197,Wisdom: Job,GswSg2ohqmA,约伯记 - The Book of Job,sk-BwkggeEg,
198,Ecclesiastes,lrsQ1tc-2wk,《读圣经》系列：传道书 Ecclesiastes,jd0dyXVaJKI,
199,,,,,
200,Wisdom: Ecclesiastes,VeUiuSK81-0,传道书 - The Book of Ecclesiastes,ej_lUInv8RQ,
201,Song of Songs,4KC7xE4fgOw,《读圣经》系列：雅歌 Song of Songs,yt4nwunekPo,
202,The Books of Solomon,WJgt1vRkPbI,所罗门书卷 - The Books of Solomon,_t45VjzfxZU,
203,Lamentations,p8GDFPdaQZQ,《读圣经》系列：耶利米哀歌 Lamentations,zfsTV--lyos,
204,,,,,
205,,,,,
206,Esther,JydNSlufRIs,《读圣经》系列：以斯帖记 Esther,1rWHVawIgN4,
207,Grace,ABPVVw_aw44,恩典 - Grace【字义研读】,8pFQo9Fa4TI,
208,Daniel,9cSC9uobtPM,,,
209,The Way of the Exile,XzWpa0gcPyo,,,
210,Son of Man,z6cWEcqxhlI,,,
211,,,,,
212,Ezra-Nehemiah,MkETkRv9tG8,,,
213,Exile,xSua9_WhQFE,,,
214,,,,,
215,,,,,
216,,,,,
217,Public Reading of Scripture,BO1Y9XyWKTw,,,
218,,,,,
219,,,,,
220,1-2 Chronicles,HR7xaHv3Ias,,,
221,,,,,
222,David the Priestly King,JCP2zWaJlGc,,,
223,,,,,
224,,,,,
225,Angels and Cherubim,-bMRxQbLUlg,,,
226,,,,,
227,The Book of Psalms,dpny22k_7uk,,,
228,How to Read Biblical Narrative,7FuT8WtoAK0,,,
229,,,,,
230,,,,,
231,The City,5yZLFmVHfaw,,,
232,,,,,
233,Vocab Insight: Gehenna / Valley of Wailing,,“欣嫩谷”(Gehenna)是“地狱”?,rjVn4pz3--k,
234,,,,,
235,The Messiah,3dEh25pduQ8,,,
236,New Testament Overview,Q0BrP8bqj0c,,,
237,Intro to the Sermon on the Mount,NtKb7CJDUZc,,,
238,Matthew 5-7: Sermon Overview,ajwehw_AT0s,,,
239,Matthew 7:12: The Golden Rule,pMIegXePp0Y,,,
240,,,,,
241,,,,,
242,Matthew 1-13,3Dv4-n6OYGI,,,
243,Matthew 14-28,GGCF3OPWN14,,,
244,The Mountain,CxDIeoVz7_8,,,
245,Passage Insight: Jesus in the Divorce Debate,,马太福音19章中耶稣对“离婚”的看法,Vo64w7eKErU,
246,,,,,
247,Warnings About Religious Practices,wCo2LN7E6bo,,,
248,The Lord’s Prayer,3-YlqQfKkKk,,,
249,Martus / Witness,jhcmzjwbvyk,,,
250,Mark,HGHqu9-DtXk,,,
251,The Parables of Jesus,XX-aAg4_U2Q,,,
252,Character Insight: John the Baptizer,T7NbLJ3DPww,,,
253,The Gospel,xrzq_X1NNaA,,,
254,Wealth and Worry,GpqOdHV3dmU,,,
255,Vocab Insight: Basileia / Kingdom,,Basileia = 国度 (包括百姓、土地、君王/统治者),09u4jeAl1P4,
256,,,,,
257,The Gospel of Mark,OVRixfameGY,,,
258,John 1,,约翰福音 第1章 - John 1,KwomrfJjgU0,
259,Eternal Life,uCOycIMyJZM,,,
260,,,,,
261,Water of Life,PgmAkM39Zt4,,,
262,,,,,
263,John 1-12,G-2e9mMf7E8,,,
264,John 13-21,RUfh_wOsauk,,,
265,God,eAvYmE2YYIU,,,
266,Matthew 6:9-13: The Prayer of Jesus,,我们一起来逐节分析“主祷文”（圣经动画注释）Visual Commentary: Matthew 6:9-13,5ImGCj5hPlo,
267,Luke 1-9,XIb_dCIxzr0,,,
268,The Birth of Jesus: Luke 1-2,_OLezoUvOEQ,,,
269,The Baptism of Jesus: Luke 3-9,0k4GbvZUPuo,,,
270,Passage Insight: Speck in the Eye,,如何不评断他人,DmD8wC0YKMw,
271,The Prodigal Son: Luke 9-19,jUCCUHurV0I,,,
272,Luke 10-24,26z_KhwNdD8,,,
273,Passage Insight: Do Not Worry,WPI3pdrdLwI,,,
274,Vocab Insight: Mammon / Wealth,,,,
275,,,,,
276,The Crucifixion of Jesus: Luke 19-23,_unHmAf7INk,,,
277,,,,,
278,The Resurrection of Jesus: Luke 24,Vb24Lk1Oh5M,,,
279,Acts 1-12,CGbNw855ksw,,,
280,Holy Spirit,oNNZO9i1Gjc,,,
281,Pentecost: Acts 1-7,JQhkWmFJKnA,,,
282,The Apostle Paul: Acts 8-12,oiVAbkINtRU,,,
283,,,,,
284,,,,,
285,Acts 13-28,Z-17KxpjL0Q,,,
286,,,,,
287,Passage Insight: Jesus and Short Prayers,,,,
288,Paul’s Missionary Journeys: Acts 13-20,fglsbcGSr3A,,,
289,Bound for Rome: Acts 21-28,FJsiwOB0Pvg,,,
290,Yakhal / Hope,4WYNBjJSYvE,,,
291,,,,,
292,Euangelion / Gospel,HT41M013X3A,,,
293,Romans 1-4,ej_6dVdJSIU,,,
294,,,,,
295,Romans 5-16,0SVTl4Xa5fY,,,
296,Vocab Insight: Dikaiosune / Righteousness,,,,
297,,,,,
298,,,,,
299,,,,,
300,New Testament Letters: Historical Context,GZuceW7eh5M,,,
301,1 Corinthians,yiHf8klCCc4,,,
302,,,,,
303,New Testament Letters: Literary Context,ZPZ2uABVMKA,,,
304,,,,,
305,,,,,
306,,,,,
307,Vocab Insight: Teleios / Whole,,,,
308,Psalm 148,XgCrFl4Mc5Q,,,
309,2 Corinthians,3lfPK2vfC54,,,
310,Image of God,YbipxLDtY8c,,,
311,Psalm 1,,,,
312,,,,,
313,Generosity,62CliEkRCso,,,
314,,,,,
315,Galatians,vmx4UjRFp0M,,,
316,,,,,
317,,,,,
318,Psalm 8,d_-xvaK4wIw,,,
319,Ephesians,Y71r-T98E2Q,,,
320,The Satan and Demons,CamYtVpoTNk,,,
321,Philippians,oE9qqW1-BkU,,,
322,Chara / Joy,qvOhQTuD2e0,,,
323,Colossians,pXTXlDxQsvc,,,
324,The New Humanity,takEeHtRrMw,,,
325,1 Thessalonians,No7Nq6IX23c,,,
326,,,,,
327,,,,,
328,2 Thessalonians,kbPBDKOn1cc,,,
329,1 Timothy,7RoqnGcEjcs,,,
330,,,,,
331,Matthew 5:17-20: Righteousness and Jesus' Bible,,,,
332,2 Timothy,urlvnxCaL00,,,
333,Titus,PUEYCVXJM3k,,,
334,Philemon,aW9Q3Jt6Yvk,,,
335,Hebrews,1fNWTZZwgbs,,,
336,,,,,
337,,,,,
338,Jesus the Royal Priest,LBr-blQxIm4,,,
339,,,,,
340,The Beatitudes,s9246LGlngs,,,
341,James,qn-hLHWwRYY,,,
342,,,,,
343,1 Peter,WhP7AZQlzCg,,,
344,The Royal Priesthood,Tw-bBfBDpE0,,,
345,2 Peter,wWLv_ITyKYc,,,
346,1-3 John,l3QkE6nKylM,,,
347,Agape / Love,slyevQ1LW7A,,,
348,,,,,
349,Jude,6UoCmakZmys,,,
350,Revelation 1-11,5nvVVcYD-0w,,,
351,Apocalyptic Literature,UNDX4tUdj1Y,,,
352,,,,,
353,,,,,
354,Revelation 12-22 ,QpnIrbq2bKo,,,
355,,,,,
356,,,,,
357,,,,,
358,Heaven & Earth,Zy2AQlK6C5k,,,
